GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A08AA,A08AB,B57AA,B57AB,B57AC,B57AD,B57AE,B57AF,B57AG,B57AH,B57AI,B57AJ,B57AK,B57AL,B57AM,B57AN,B57AO,B57AP,B57AQ,B57AR,AE7AA,AE7AB,AE7AC,AE7AD,AE7AE,AE7AF,AE7AG,AE7AH,AE7AI,AE7AJ,AE7AK,AE7AL
"G010","1820","Alabama","01","010","Alabama",67937,59964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G055","1820","Arkansas Territory",,"055","Arkansas Territory",7835,6420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","1820","Connecticut","09","090","Connecticut",134581,140541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","1820","Delaware","10","100","Delaware",36939,35810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","1820","District Of Columbia","11","110","District of Columbia",15909,17130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G130","1820","Georgia","13","130","Georgia",175171,165814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","1820","Illinois","17","170","Illinois",30186,24976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","1820","Indiana","18","180","Indiana",77401,69777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","1820","Kentucky","21","210","Kentucky",289103,275032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","1820","Louisiana","22","220","Louisianna",82407,70516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","1820","Maine","23","230","Maine",149632,148637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","1820","Maryland","24","240","Maryland",206862,200488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","1820","Massachusetts","25","250","Massachusetts",255462,267697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G265","1820","Michigan Territory",,"265","Michigan Territory",5488,3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","1820","Mississippi","28","280","Mississippi",40375,35073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G295","1820","Missouri Territory",,"295","Missouri Territory",36528,30029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G330","1820","New Hampshire","33","330","New Hampshire",119582,124440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","1820","New Jersey","34","340","New Jersey",140023,137403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
