state,year,inc_per_cap_act
Alabama,1980,27058.88686921592
Alabama,1981,26708.686510444826
Alabama,1982,26009.132786299157
Alabama,1983,26792.50976388515
Alabama,1984,28134.394584177735
Alabama,1985,29070.571447436094
Alabama,1986,29450.905692196113
Alabama,1987,30576.956161071997
Alabama,1988,31518.033465365654
Alabama,1989,32740.113125994416
Alabama,1990,35863.34520354577
Alabama,1991,35523.01755781661
Alabama,1992,36665.83775534316
Alabama,1993,36755.806093535815
Alabama,1994,37711.73512959085
Alabama,1995,38296.85291494651
Alabama,1996,38512.32171555139
Alabama,1997,38952.85624002701
Alabama,1998,40193.87796780102
Alabama,1999,40565.56347322424
Alabama,2000,38067.85213102951
Alabama,2001,37885.48436087685
Alabama,2002,38379.38895487855
Alabama,2003,38819.21117780294
Alabama,2004,40552.66028630379
Alabama,2005,41452.94008642673
Alabama,2006,41952.13641395999
Alabama,2007,42749.564143318814
Alabama,2008,41987.21462388265
Alabama,2009,41166.57902431602
Alabama,2010,41092.88443736477
Alabama,2011,41893.94252634031
Alabama,2012,41703.96734665093
Alabama,2013,41271.49914480921
Alabama,2014,41944.529108008224
Alabama,2015,43868.506623506146
Alabama,2016,44050.65142925599
Alabama,2017,44595.82335758379
Alabama,2018,45469.82060527386
Alabama,2019,46304.58137763227
Arizona,1980,33067.90715268131
Arizona,1981,32684.801761254315
Arizona,1982,31251.938825194684
Arizona,1983,32297.703866319618
Arizona,1984,33869.58171410426
Arizona,1985,35072.491821200805
Arizona,1986,35496.77247923414
Arizona,1987,36319.53627919767
Arizona,1988,36623.62997198785
Arizona,1989,36709.92688951603
Arizona,1990,73063.2648179621
Arizona,1991,71822.78560886688
Arizona,1992,73178.43770529135
Arizona,1993,73810.87445736829
Arizona,1994,76516.00574400461
Arizona,1995,77346.83142181777
Arizona,1996,79492.22451511679
Arizona,1997,81678.30923063478
Arizona,1998,87978.99339881873
Arizona,1999,90526.89368738675
Arizona,2000,40984.0655413052
Arizona,2001,40181.224479307595
Arizona,2002,40041.26689247286
Arizona,2003,40245.94481007401
Arizona,2004,41863.883924552974
Arizona,2005,43516.92623793394
Arizona,2006,44871.567752155715
Arizona,2007,45158.49011191245
Arizona,2008,42886.48428866045
Arizona,2009,40153.84544482279
Arizona,2010,40954.31824740053
Arizona,2011,41867.31417666993
Arizona,2012,41992.1117226423
Arizona,2013,41847.95231238621
Arizona,2014,43041.874904046286
Arizona,2015,44801.1233121482
Arizona,2016,45460.11579889917
Arizona,2017,46291.97650259172
Arizona,2018,47478.788309844254
Arizona,2019,48311.62237063426
Arkansas,1980,25817.29793843209
Arkansas,1981,26090.03342394271
Arkansas,1982,25311.017872653334
Arkansas,1983,25730.298410140782
Arkansas,1984,27344.025180344663
Arkansas,1985,27970.70645543528
Arkansas,1986,28209.94883716948
