date,state,gdp_nom,gdp_act_per_capita
1980-01-01,Alabama,36006,31390.867569499052
1981-01-01,Alabama,40084,31062.68558659153
1982-01-01,Alabama,41478,29640.705149521178
1983-01-01,Alabama,45248,31108.33789138644
1984-01-01,Alabama,49713,32625.11390110678
1985-01-01,Alabama,53688,33856.4860496673
1986-01-01,Alabama,56046,33830.6069121285
1987-01-01,Alabama,60586,35865.741099313935
1988-01-01,Alabama,65435,37120.684099944505
1989-01-01,Alabama,67875,36794.59263535105
1990-01-01,Alabama,71085,39684.866360688684
1991-01-01,Alabama,75293,39373.42160535501
1992-01-01,Alabama,80450,40385.74376459625
1993-01-01,Alabama,83453,40150.02070961709
1994-01-01,Alabama,88581,41318.580746004256
1995-01-01,Alabama,94021,42126.56845014598
1996-01-01,Alabama,97941,42215.2803709325
1980-01-01,Alaska,15138,127883.74470216
1981-01-01,Alaska,21665,157204.76264245473
1982-01-01,Alaska,23348,145662.33328479168
1983-01-01,Alaska,22548,124865.60938706729
1984-01-01,Alaska,23829,120302.9187161491
1985-01-01,Alaska,26219,123349.15536587687
1986-01-01,Alaska,18849,83441.92623739068
1987-01-01,Alaska,22258,98099.99248657611
1988-01-01,Alaska,21307,89740.47364158594
1989-01-01,Alaska,23357,93263.93679053476
1990-01-01,Alaska,24987,97307.65170258319
1991-01-01,Alaska,22164,79190.29943803039
1992-01-01,Alaska,22591,78823.61023985225
1993-01-01,Alaska,22965,77505.19126643361
1994-01-01,Alaska,23110,74253.37536321972
1995-01-01,Alaska,24805,77323.76508119948
1996-01-01,Alaska,26083,75853.62558985123
1980-01-01,Arizona,30431,38005.31326718604
1981-01-01,Arizona,33703,36419.28299650888
1982-01-01,Arizona,34994,33966.44438401773
1983-01-01,Arizona,38835,35379.10702313857
1984-01-01,Arizona,45235,38249.09697614081
1985-01-01,Arizona,50080,39408.08992548258
1986-01-01,Arizona,55191,40195.47583245398
1987-01-01,Arizona,59171,40920.21661325975
1988-01-01,Arizona,63639,41092.31149820072
1989-01-01,Arizona,66390,40043.90299765815
1990-01-01,Arizona,69322,79360.95660924457
1991-01-01,Arizona,72263,77263.30916799321
1992-01-01,Arizona,79695,81347.2273687409
1993-01-01,Arizona,85157,81586.6184996505
1994-01-01,Arizona,95292,86448.2770114607
1995-01-01,Arizona,104036,87475.89345946636
1996-01-01,Arizona,113138,90199.63415226551
1980-01-01,Arkansas,20100,29843.45464916747
1981-01-01,Arkansas,22688,30043.239330922264
1982-01-01,Arkansas,23278,28460.185440694815
