date,state,unemployment
1976-01-01,Alabama,6.6
1976-01-01,Alaska,7.1
1976-01-01,Arizona,10.2
1976-01-01,Arkansas,7.3
1976-01-01,California,9.2
1976-01-01,Colorado,5.8
1976-01-01,Connecticut,9.8
1976-01-01,District of Columbia,8.7
1976-01-01,Delaware,8
1976-01-01,Florida,9.7
1976-01-01,Georgia,8.4
1976-01-01,Hawaii,9.8
1976-01-01,Idaho,5.6
1976-01-01,Illinois,6.6
1976-01-01,Indiana,6.6
1976-01-01,Iowa,4.3
1976-01-01,Kansas,4.2
1976-01-01,Kentucky,5.6
1976-01-01,Louisiana,6.3
1976-01-01,Maine,8.7
1976-01-01,Maryland,6.4
1976-01-01,Massachusetts,10.5
1976-01-01,Michigan,9.9
1976-01-01,Minnesota,6
1976-01-01,Mississippi,6.7
1976-01-01,Missouri,5.9
1976-01-01,Montana,5.8
1976-01-01,Nebraska,3.3
1976-01-01,Nevada,9.2
1976-01-01,New Hampshire,6.5
1976-01-01,New Jersey,10.3
1976-01-01,New Mexico,8.6
1976-01-01,New York,10.3
1976-01-01,North Carolina,6.4
1976-01-01,North Dakota,3.4
1976-01-01,Ohio,8.1
1976-01-01,Oklahoma,5.8
1976-01-01,Oregon,9.5
1976-01-01,Pennsylvania,8
1976-01-01,Rhode Island,7.8
1976-01-01,South Carolina,7.4
1976-01-01,South Dakota,3.3
1976-01-01,Tennessee,6
1976-01-01,Texas,5.8
1976-01-01,Utah,5.8
1976-01-01,Vermont,8.6
1976-01-01,Virginia,6.1
1976-01-01,Washington,8.5
1976-01-01,West Virginia,7.5
1976-01-01,Wisconsin,5.8
1976-01-01,Wyoming,4.1
1976-02-01,Alabama,6.6
1976-02-01,Alaska,7.1
1976-02-01,Arizona,10.2
1976-02-01,Arkansas,7.3
1976-02-01,California,9.2
1976-02-01,Colorado,5.7
1976-02-01,Connecticut,9.8
1976-02-01,District of Columbia,8.7
1976-02-01,Delaware,8
1976-02-01,Florida,9.7
1976-02-01,Georgia,8.4
1976-02-01,Hawaii,9.8
1976-02-01,Idaho,5.6
1976-02-01,Illinois,6.6
1976-02-01,Indiana,6.6
1976-02-01,Iowa,4.3
1976-02-01,Kansas,4.2
1976-02-01,Kentucky,5.6
1976-02-01,Louisiana,6.3
1976-02-01,Maine,8.7
1976-02-01,Maryland,6.4
1976-02-01,Massachusetts,10.5
1976-02-01,Michigan,9.9
1976-02-01,Minnesota,6
1976-02-01,Mississippi,6.7
1976-02-01,Missouri,5.9
1976-02-01,Montana,5.8
1976-02-01,Nebraska,3.3
1976-02-01,Nevada,9.2
1976-02-01,New Hampshire,6.5
1976-02-01,New Jersey,10.3
1976-02-01,New Mexico,8.7
1976-02-01,New York,10.3
1976-02-01,North Carolina,6.4
1976-02-01,North Dakota,3.4
1976-02-01,Ohio,8.1
1976-02-01,Oklahoma,5.8
1976-02-01,Oregon,9.5
1976-02-01,Pennsylvania,8.1
1976-02-01,Rhode Island,7.8
1976-02-01,South Carolina,7.4
1976-02-01,South Dakota,3.3
1976-02-01,Tennessee,6
1976-02-01,Texas,5.8
1976-02-01,Utah,5.9
1976-02-01,Vermont,8.6
1976-02-01,Virginia,6.1
1976-02-01,Washington,8.5
1976-02-01,West Virginia,7.5
1976-02-01,Wisconsin,5.8
1976-02-01,Wyoming,4.1
1976-03-01,Alabama,6.6
1976-03-01,Alaska,7
1976-03-01,Arizona,10.1
1976-03-01,Arkansas,7.3
1976-03-01,California,9.1
1976-03-01,Colorado,5.7
1976-03-01,Connecticut,9.8
1976-03-01,District of Columbia,8.6
1976-03-01,Delaware,8
1976-03-01,Florida,9.6
1976-03-01,Georgia,8.4
1976-03-01,Hawaii,9.8
1976-03-01,Idaho,5.6
1976-03-01,Illinois,6.6
1976-03-01,Indiana,6.5
1976-03-01,Iowa,4.3
1976-03-01,Kansas,4.2
1976-03-01,Kentucky,5.6
1976-03-01,Louisiana,6.3
1976-03-01,Maine,8.6
1976-03-01,Maryland,6.4
1976-03-01,Massachusetts,10.5
1976-03-01,Michigan,9.9
1976-03-01,Minnesota,5.9
1976-03-01,Mississippi,6.6
1976-03-01,Missouri,5.9
1976-03-01,Montana,5.8
1976-03-01,Nebraska,3.3
1976-03-01,Nevada,9.2
1976-03-01,New Hampshire,6.5
1976-03-01,New Jersey,10.3
1976-03-01,New Mexico,8.7
1976-03-01,New York,10.2
1976-03-01,North Carolina,6.4
1976-03-01,North Dakota,3.4
1976-03-01,Ohio,8.1
1976-03-01,Oklahoma,5.8
1976-03-01,Oregon,9.4
1976-03-01,Pennsylvania,8.1
1976-03-01,Rhode Island,7.7
1976-03-01,South Carolina,7.3
1976-03-01,South Dakota,3.2
1976-03-01,Tennessee,6
1976-03-01,Texas,5.9
1976-03-01,Utah,5.8
1976-03-01,Vermont,8.6
1976-03-01,Virginia,6.1
1976-03-01,Washington,8.4
1976-03-01,West Virginia,7.5
1976-03-01,Wisconsin,5.7
1976-03-01,Wyoming,4.1
1976-04-01,Alabama,6.5
1976-04-01,Alaska,6.9
1976-04-01,Arizona,10
1976-04-01,Arkansas,7.2
1976-04-01,California,9.1
1976-04-01,Colorado,5.6
1976-04-01,Connecticut,9.6
1976-04-01,District of Columbia,8.5
1976-04-01,Delaware,8.1
1976-04-01,Florida,9.5
1976-04-01,Georgia,8.3
1976-04-01,Hawaii,9.7
1976-04-01,Idaho,5.6
1976-04-01,Illinois,6.6
1976-04-01,Indiana,6.3
1976-04-01,Iowa,4.2
1976-04-01,Kansas,4.2
1976-04-01,Kentucky,5.6
1976-04-01,Louisiana,6.4
1976-04-01,Maine,8.6
1976-04-01,Maryland,6.4
1976-04-01,Massachusetts,10.3
1976-04-01,Michigan,9.8
1976-04-01,Minnesota,5.8
1976-04-01,Mississippi,6.4
1976-04-01,Missouri,6
1976-04-01,Montana,5.8
1976-04-01,Nebraska,3.2
1976-04-01,Nevada,9
1976-04-01,New Hampshire,6.5
1976-04-01,New Jersey,10.3
1976-04-01,New Mexico,8.6
1976-04-01,New York,10.2
1976-04-01,North Carolina,6.3
1976-04-01,North Dakota,3.5
1976-04-01,Ohio,8
1976-04-01,Oklahoma,5.8
1976-04-01,Oregon,9.2
1976-04-01,Pennsylvania,8.1
1976-04-01,Rhode Island,7.7
1976-04-01,South Carolina,7.2
1976-04-01,South Dakota,3.1
1976-04-01,Tennessee,6
1976-04-01,Texas,5.9
1976-04-01,Utah,5.8
1976-04-01,Vermont,8.6
1976-04-01,Virginia,6
1976-04-01,Washington,8.5
1976-04-01,West Virginia,7.5
1976-04-01,Wisconsin,5.6
1976-04-01,Wyoming,4
1976-05-01,Alabama,6.4
